ID,Summary,Priority,Assignee,Submitted By,Category,Status,Easy,Open Date,Close Date,Last Modified Date
29499,&quot;Browser Page Title&quot; Not Considered in Category Blog Layouts,3,none,imanickam,Components,Fixed in SVN/GitHub,None,2012-10-14,2012-10-17,2012-10-17
29500,Browser Page Title Not Considered in Category Blog Layouts,3,none,imanickam,Components,Duplicate Report,None,2012-10-14,2012-10-15,2012-10-15
29504,*Multilanguage: Alternate links issue for default site language-SEO,3,none,infograf768,Search Engine Friendly,Pending,None,2012-10-15,,2012-10-16
29515,Article Manager Options disappeared,3,none,froechtling,Components,Information Required,None,2012-10-17,,2012-10-22
29516,Method loadResultArray used in Oracle driver but missed in base classes,3,none,smart,Platform,Referred to Platform,None,2012-10-17,,2012-10-17
29517,Debug plugin system and empty object,3,none,obsidev,Plugins,Pending,None,2012-10-17,,2012-10-20
29519,*Edit Menu Item layout usability,3,none,infograf768,User Interface,Fixed in SVN/GitHub,None,2012-10-17,2012-10-18,2012-10-18
29520,Cannot add new menu item. [qlsrv],3,none,salsolo,Database,Confirmed,None,2012-10-18,,2012-10-21
29521,J3.0.1 JLIB_FILESYSTEM_ERROR_PATH_IS_NOT_A_FOLDER_FILES INSTL_ERROR_INITIALISE_SCHEMA,3,none,humvee,Languages,Fixed in SVN/GitHub,None,2012-10-18,2012-10-18,2012-10-18
29524,J3.0.1 JLIB_APPLICATION_ERROR_VIEW_NOT_FOUND,3,none,humvee,Languages,Information Required,None,2012-10-18,,2012-10-20
29525,No tooltip help for Global Configuration Text Filters,3,none,dextercowley,User Interface,Fixed in SVN/GitHub,None,2012-10-18,2012-10-20,2012-10-20
29527,*Beez category list display issue,3,none,infograf768,Templates,Fixed in SVN/GitHub,Easy,2012-10-18,2012-10-20,2012-10-20
29528,Incorrect arrows in table heading.,3,none,denitz,User Interface,Confirmed,None,2012-10-19,,2012-10-22
29529,Default value for &quot;Collapse Administrator Menu&quot; of Isis,3,none,denitz,User Interface,Confirmed,None,2012-10-19,,2012-10-22
29530,*Language override search broken,3,none,infograf768,None,Fixed in SVN/GitHub,Easy,2012-10-19,2012-10-20,2012-10-20
29533,Missing closing link tag in submenu layout,3,none,shumisha,Administration,Pending,Easy,2012-10-19,,2012-10-19
29534,Fix for contentPrepare for category blog pages.,3,none,jmcameron,Plugins,Confirmed,Easy,2012-10-19,,2012-10-20
29535,Invalid XHTML syntax in Protostar Joomla 3.0.1,4,none,denia,Templates,Ready to commit,Easy,2012-10-19,,2012-10-22
29536,XHTML syntax error in default system Breadcrumbs module,4,none,denia,Modules,Confirmed,Easy,2012-10-19,,2012-10-20
29537,Backend extensions use calls to JhtmlSidebar::* instead of Jhtml::_(*)  thus preventing overriding,3,none,shumisha,Administration,Duplicate Report,None,2012-10-19,2012-10-19,2012-10-19
29540,Problem with content plugins and GET request data,3,none,thelordofweb,Plugins,Information Required,None,2012-10-20,,2012-10-21
29541,User Manager tab for User Profile plugin is inaccessible,3,none,monkeyt,Administration,Confirmed,None,2012-10-20,,2012-10-21
29543,Category on article is sometimes not displayed,3,none,denia,Templates,Pending,Easy,2012-10-20,,2012-10-21
29544,Parent category not displayed in categroy blog,3,none,denia,Components,Pending,Easy,2012-10-20,,2012-10-21
29545,Incorrect label / date in article created date,3,none,denia,Components,Pending,Easy,2012-10-20,,2012-10-21
29546,Save as Copy Overwrites Article Titles (always),3,none,wparus,Administration,Expected Behavior,None,2012-10-20,2012-10-21,2012-10-21
29547,Category parent link missing,3,none,denia,Components,Pending,Easy,2012-10-20,,2012-10-22
29548,Template Manager: Edit File source code editor doesn't fill page Firefox (16.0.1),3,none,skaughtx0r,User Interface,Open,None,2012-10-20,,2012-10-20
29550,Postgresql : disable escape_string_warning option,3,none,pilou_,Database,Open,None,2012-10-20,,2012-10-20
29551,Fixed list_price and sale_price,3,none,gpongelli,Database,Fixed in SVN/GitHub,None,2012-10-21,2012-10-21,2012-10-21
29552,*Com_messages &quot;My Settings&quot; broken,3,none,infograf768,User Interface,Fixed in SVN/GitHub,Easy,2012-10-21,2012-10-22,2012-10-22
29553,Convert Hathor's brown color scheme to Less,3,none,mbabker,Templates,Fixed in SVN/GitHub,Easy,2012-10-21,2012-10-22,2012-10-22
29554,Fix broken module installation in Postgresql because of NULL constraint,2,none,vietvh,Platform,Pending,None,2012-10-21,,2012-10-21
29556,Legacy component helper error,3,none,denitz,CMS Libraries,Open,None,2012-10-22,,2012-10-22
29558,Incorrect current menu item highlighting in mod_menu if 'Base Item' is not current.,3,none,denitz,Modules,Open,None,2012-10-22,,2012-10-22
29560,jumping column in Contact Manager: Contacts,5,none,piggydoughnut,User Interface,Pending,None,2012-10-22,,2012-10-22
29562,Banner details shows trashed client,3,none,biomehaniker,Components,Open,None,2012-10-22,,2012-10-22
29563,Error msg when an invalid back-end template is selected,3,none,elf,Platform,Open,None,2012-10-22,,2012-10-22
